Subject,資料集名稱,核心功能,地理範圍,時間範圍,資料粒度,應用場景 1,應用場景 2,應用場景 3,更新延遲,完整性,準確性,相關資料集,使用建議,Error,資料集總結
"- 名稱：台灣電力公司自建之各類再生能源發電量
- 原始描述：提供台電公司自建之太陽能、風力及地熱發電量。
- 更新頻率：每1月
- 提供單位：再生能源處
- 關鍵字：太陽光電、風力、地熱、發電
- 資料集備註：",台灣電力公司自建之各類再生能源發電量,追蹤與分析台灣電力公司自行建設與營運的太陽能、風力及地熱等再生能源的月度發電量，作為能源政策與營運決策的基礎。,台灣全島,歷史資料，月度更新,月/發電類型（太陽能、風力、地熱）,評估台電自建再生能源設施的發電效益與趨勢分析,監測不同再生能源類型（太陽能、風力、地熱）的貢獻度變化,作為政府或研究機構制定能源轉型政策的參考依據,月底,完整覆蓋台電自建之太陽能、風力及地熱發電設施的月度數據,官方統計，經台電再生能源處內部驗證,"台灣整體再生能源發電量統計,台灣電力公司各類型發電量統計,台灣電力公司電力負載預測",建議搭配氣象資料或電力負載數據，進行更深入的發電量影響因素分析。,,本資料集由台灣電力公司提供，核心用途在於揭示台電公司自行建置的再生能源發電成果。內容涵蓋了太陽能、風力以及地熱等主要再生能源類型的實際發電量數據，是掌握國家電力結構轉型的重要依據。資料的時間特性為每月更新，適合進行長期趨勢分析。數據源自台電在台灣全島自建的發電設施，粒度應為總量或設施層級，能夠精確反映台電在推動綠色能源方面的具體進展。此數據集具有高度的應用價值，可供政府部門評估再生能源政策的實施成效；協助能源研究機構深入分析不同再生能源類型的成長軌跡；同時也為企業在進行綠色能源投資時，提供可靠的決策參考。資料來源於國家級電力公司，確保了數據的專業性與可靠性，使用者可依此進行即時的再生能源發展趨勢分析，確保分析結果的時效性與準確性。
"- 名稱：台灣電力公司再生能源各場址資料
- 原始描述：提供台電公司再生能源各場址名稱、型號、容量、地址等相關資料。
- 更新頻率：不定期更新
- 提供單位：再生能源處
- 關鍵字：太陽光電、風力
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司再生能源各場址資料,彙整台灣電力公司所屬再生能源（太陽光電、風力）設施的名稱、地址、型號與發電容量等基礎資訊。,台灣全島（台電再生能源場址所在地）,現況資料，持續更新,單一再生能源場址,進行台電再生能源設施的地理空間分佈與資產管理分析,評估特定區域的再生能源裝置容量，供能源政策規劃參考,結合環境或土地資料，進行再生能源場址的環境影響評估,不定期更新，異動發生後即時或短期內發布,完整涵蓋台灣電力公司所有再生能源場址資料,官方資料，高度準確,"台灣電力公司各類發電量統計,再生能源發電設備登記資料,全國土地利用分區資料",主要用於資產管理與空間分析，建議搭配發電量或電網資料進行效益評估,,「台灣電力公司再生能源各場址資料」是一個關鍵性的地理空間資料集，其核心功能在於透明化呈現台電旗下所有再生能源設施的詳細資訊。資料內容涵蓋了各場址的名稱、裝置容量以及精確的地理位置地址，為理解台電的綠色能源布局提供了基礎。本資料集以單一場址為最小粒度，具備高度的地理空間特性，使用者可直接進行空間分析與規劃。此資料集的主要應用價值極高，不僅能支援政府與企業進行再生能源的規劃與管理，也能協助環評機構在進行環境影響評估時，作為重要的參考依據。此外，對於學術研究機構分析台灣的再生能源部署策略，也提供了寶貴的基礎數據。資料的專業性與準確性由台灣電力公司保證，雖然資料為不定期更新，但其內容的完整性使其非常適合進行再生能源空間分析與長期規劃。本資料集旨在促進能源資訊透明化，服務廣泛的利害關係人。
"- 名稱：台灣電力公司總管理處圖書室館藏
- 原始描述：提供台電總管理處圖書室各類型圖書之列表。
- 更新頻率：每1年
- 提供單位：秘書處
- 關鍵字：台電、圖書
- 資料集備註：",台灣電力公司總管理處圖書室館藏,提供台灣電力公司總管理處圖書室的完整館藏清單，便於使用者查詢與了解台電相關的專業圖書資源。,台灣電力公司總管理處，資料內容涵蓋台灣全島電力相關領域,歷史資料，涵蓋圖書室自成立以來的館藏,單一圖書/館藏紀錄,供台電員工或外部研究人員查詢電力、能源相關的專業文獻,分析圖書室的館藏結構，了解台電的知識累積與研究重點,協助圖書室進行館藏盤點、採購或淘汰舊書的決策參考,約 1 年，配合圖書室年度盤點與新書編目作業,完整收錄台灣電力公司總管理處圖書室所有館藏資料,高度準確，由圖書室專業編目人員維護,"台灣電力公司出版品目錄,台電文獻資料庫,電力技術報告清單",可搭配圖書室的借閱系統使用，以獲取圖書的即時狀態與借閱資訊。,,本資料集為「台灣電力公司總管理處圖書室館藏」的數位目錄，核心功能在於提供台電圖書室內各類型圖書的詳盡列表。內容涵蓋能源、電力、工程技術及相關學術領域的專業文獻與出版品，是台電內部知識資產的重要體現。資料的地理範圍集中於台電總管理處的館藏，但其內容的學術粒度極高，時間跨度則取決於館藏的歷史累積。此資料集具備多元應用價值，不僅能支援台電內部知識管理與員工學習，更可協助研究人員快速查詢相關文獻，並為學術界分析能源領域的專業文獻提供堅實的基礎。本資料集每年定期更新，確保館藏資訊的時效性與準確性，是進行知識管理與文獻查詢的理想資源。
"- 名稱：台灣電力公司決算主要表
- 原始描述：提供台電公司歷年度決算主要表內容。
- 更新頻率：每1年
- 提供單位：會計處
- 關鍵字：損益表、資產負債表、政府支出、政府預算
- 資料集備註：",台灣電力公司決算主要表,提供台灣電力公司歷年的財務決算數據，用於分析其資產負債、經營損益及財務結構。,台灣全島,歷史資料，年度數據,年/公司整體,評估台灣電力公司年度經營績效與獲利能力。,分析台電公司的資產結構、負債比率與財務風險。,作為政府部門審計與能源政策制定的參考。,年度結束後 3-6 個月,完整涵蓋台灣電力公司年度主要財務報表內容。,經會計師查核及主管機關審定，具高度準確性,"台灣電力公司預算書,台灣電力公司財務報表,政府決算報告",適合用於長期財務趨勢分析與跨年度比較，應搭配預算書進行差異分析。,,「台灣電力公司決算主要表」資料集，旨在提供台灣電力公司歷年完整的年度決算主要報表內容，是理解台電財務狀況與營運成果的關鍵資訊來源。本資料集以年度為時間粒度，涵蓋台電作為全國性公用事業的整體財務表現，不涉及細部地理資訊，但反映了其在台灣全境的營運績效。內容包含資產負債表、損益表等核心決算資訊，數據具備高度的權威性與準確性。此資料集的主要應用價值體現在多個面向：首先，政府部門可依此進行嚴謹的決算審查與監督；其次，投資人能藉此深入分析台電的年度財務績效與經營穩定性，作為投資決策的參考；此外，學術研究機構亦可利用這些公開的決算數據，對公用事業的會計與財務管理進行深入的比較與分析。資料集內容與台電正式公告的決算報告一致，確保了資料的可靠性。本資料集採每年更新機制，確保使用者能即時掌握最新的年度決算資訊，適合進行長期趨勢分析與績效評估。
"- 名稱：台灣電力公司會計報表
- 原始描述：提供台電公司每月會計月報內容，供社會大眾下載參考利用。
- 更新頻率：每1月
- 提供單位：會計處
- 關鍵字：損益表、政府支出、資產負債表
- 資料集備註：",台灣電力公司會計報表,揭露台灣電力公司每月的財務狀況與經營績效，包含損益表與資產負債表等重要會計資訊。,台灣全島 (以公司整體財務報表為主),歷史月度資料，持續更新,月度/公司整體,分析台灣電力公司的財務結構與償債能力,評估台電的營運成本、收入來源及獲利能力,研究公共事業在能源政策下的財務表現,每月月底或次月上旬發布,完整涵蓋台灣電力公司每月會計報表內容,官方會計報表，經內部審核與簽證,"台灣電力公司發電量統計, 台灣電力公司電價表, 台灣電力公司財務分析報告",搭配能源政策與電價調整資料，進行更全面的公共事業財務分析。,,本資料集為**台灣電力公司會計報表**，核心功能在於**提供台電每月會計月報的詳細內容**，是理解這家全國性公用事業機構財務狀況與營運績效的關鍵資訊來源。資料的時間粒度為**每月**，反映了台電在全公司層級的宏觀財務數據，具備高度的專業性與可靠性。其應用場景廣泛，主要包括**政府部門**可藉此進行嚴謹的會計監督，**投資人**能深入分析其財務結構與營運績效，以及**學術研究者**可用於分析公用事業的會計特性與趨勢。本資料集採行**每月定期更新**的機制，確保使用者能即時掌握最新的財務動態，非常適合進行持續性的財務監控與深入分析。
"- 名稱：台灣電力公司過去電力供需資訊
- 原始描述：提供上一年度及今年度至上月份為止，每日電力供需資訊及機組發電量對尖峰備轉容量率之影響。
- 更新頻率：每1月
- 提供單位：電力調度處
- 關鍵字：用電量、供電能力、尖峰負載、備轉容量、備轉容量率
- 資料集備註：",台灣電力公司過去電力供需資訊,追蹤台灣電力公司過去一段時間的每日電力供需狀況，並分析各機組發電量對尖峰備轉容量率的影響。,台灣全島,歷史資料，每月更新，涵蓋上一年度及今年度至上月份,日,分析過去電力供需趨勢，評估供電穩定性與風險,作為電力負載預測模型輸入，提升預測準確度,檢視機組發電效益，作為能源政策與電網規劃的參考,約 1 個月 (上月份資料於本月發布),涵蓋台灣全島每日電力供需及機組發電量數據,官方統計、定期發布、高度準確,"台灣電力公司即時電力供需資訊,台灣電力公司各縣市用電量統計",應搭配氣象資料或經濟指標，進行更深入的電力負載與備轉容量率關聯性分析。,,「台灣電力公司過去電力供需資訊」資料集，核心功能在於提供台灣地區上一年度及今年度的電力供需詳細數據，以及各發電機組對整體供需平衡的影響分析。本資料集的時間範圍涵蓋過去一年至今，以每月為週期進行更新，適合需要即時掌握電力市場動態的專業人士。其主要應用場景廣泛，包括電力調度部門用於精確的供需管理與決策、政府部門評估國家電力資源的穩定性與規劃，以及研究機構進行深入的電力市場結構與趨勢分析。資料內容專業且具備高度時效性，每月定期更新的機制確保了數據的可靠性與準確性，是進行電力供需分析與預測不可或缺的關鍵參考資源。
"- 名稱：經濟部主管核能發電後端營運基金決算資料
- 原始描述：提供核能發電後端營運基金之前一年度決算資料。
- 更新頻率：每1年
- 提供單位：會計處
- 關鍵字：後端營運基金、決算、政府預算、政府支出
- 資料集備註：",經濟部主管核能發電後端營運基金決算資料,提供經濟部主管之核能發電後端營運基金，前一年度的財務決算與支出明細，用於追蹤基金的運作與財務績效。,全國性基金管理,歷史年度決算資料，每年更新,年度/決算會計科目,追蹤核能後端營運基金的年度收支與財務狀況,分析政府在核能廢棄物處理與除役上的資金投入,進行政府預算執行與公共支出的透明度監督,年度決算完成後約 3-6 個月,完整涵蓋該基金前一年度所有決算會計科目,官方決算資料，經會計師查核簽證,"核能發電後端營運基金預算資料,台電公司財務報表,核能電廠除役計畫",應搭配預算資料進行比較分析，以評估基金的財務執行效率。,,本資料集提供經濟部主管之核能發電後端營運基金前一年度的財務決算與支出明細，主要用於追蹤基金的運作狀況及財務績效。涵蓋全國性基金管理範圍，資料以年度為單位，細分至決算會計科目，歷史資料持續更新，方便長期比較與分析。主要應用場景包括：監控核能後端營運基金的年度收支與財務狀況；分析政府在核能廢棄物處理及核電廠除役的資金投入；以及促進政府預算執行與公共支出的透明度。資料由官方會計師查核簽證，具高度準確性與完整性，涵蓋所有前一年度決算科目，並於決算完成後約3至6個月更新。建議搭配相關預算資料使用，以提升財務執行效率與監督效果。
"- 名稱：經濟部主管核能發電後端營運基金會計月報
- 原始描述：提供核能發電後端營運基金之會計月報相關資料。
- 更新頻率：每1月
- 提供單位：會計處
- 關鍵字：會計、月報、後端營運基金、政府預算、政府支出
- 資料集備註：",台灣電力公司_經濟部主管核能發電後端營運基金會計月報,追蹤和公開核能發電後端營運基金的每月財務收支與運用狀況，作為政府預算執行與監督的依據。,台灣全島 (基金運作範圍),歷史資料，持續月度更新,月/會計科目,分析核能後端營運基金的每月資金流向與支出結構,評估政府對核廢料處理預算的執行效率與財務透明度,研究台灣核能除役與廢棄物管理政策的長期財務影響,每月月底或次月上旬發布,完整涵蓋基金的每月會計科目與財務報表內容,官方會計報表，經內部與外部審計驗證,"經濟部主管核能發電後端營運基金年度預算,台電公司核能發電廠除役計畫",建議搭配年度預算資料，進行月度預算執行率和財務狀況的追蹤分析。,,本資料集為台灣電力公司依據經濟部主管規定，定期發布的核能發電後端營運基金會計月報。內容詳實記錄了核能發電後端營運基金的收支、運用與餘額狀況，是掌握國家核能除役與廢料處理財務規劃的核心文件。資料涵蓋範圍為台灣電力公司的營運活動，以月報形式呈現，提供月度會計粒度的精確數據，具有高度的時效性與專業性。其主要應用場景包括：供政府部門進行核能政策與基金監管、協助學術機構進行能源經濟與財務分析，以及提供社會大眾進行公共監督與資訊查核。作為官方會計報告，本資料集具備高完整性與準確性，並按時每月更新，確保使用者能即時掌握最新的基金運作情況。
"- 名稱：台灣電力公司近三年每日尖峰備轉容量率
- 原始描述：提供台灣電力公司近三年度每日尖峰備轉容量率。
- 更新頻率：每1年
- 提供單位：電力調度處
- 關鍵字：備轉容量、尖峰負載
- 資料集備註：1.備轉容量(Operating Reserve)＝系統運轉淨尖峰能力－系統瞬時尖峰負載(瞬間值)。
2.備轉容量率(Percent Operating Reserve)＝(系統運轉淨尖峰供電能力－系統瞬時尖峰負載(瞬間值))÷系統瞬時尖峰負載(瞬間值)×100%。",台灣電力公司近三年每日尖峰備轉容量率,用於監測台灣電力系統在尖峰時段的供電穩定性與電力裕度，是評估缺電風險的重要指標。,台灣全島電力系統,近三年每日歷史資料,日/全台,評估台灣整體電力供需平衡與潛在缺電風險,分析電力系統穩定性與尖峰負載趨勢,作為再生能源政策與儲能規劃的參考依據,每年更新一次，時間差約一年,涵蓋台灣全島電力系統、每日數據完整覆蓋近三年,官方統計、高度準確,"台灣電力公司每日發電量,台灣電力公司系統尖峰負載,台灣電力公司電源結構",應搭配尖峰負載、發電量等資料集，進行更全面的電力供需分析。,,本資料集由台灣電力公司發布，旨在提供台灣電力系統的供電安全與韌性評估依據。內容詳實記錄了近三年以來每日的尖峰備轉容量率，是監測國家電力供應狀況的核心指標。資料以每日為粒度，涵蓋近三年度的歷史趨勢，地理範圍為台灣全島電力系統。其應用價值廣泛，例如：電力調度部門可藉此進行精準的供電管理；政府部門能據此評估電力供應安全；研究機構則可深入分析電力系統的穩定性與潛在風險。本資料集具備高度的專業性與時效性，每年會進行定期更新，確保數據的準確性與連續性。建議使用者可利用此數據進行長期的備轉容量率分析，以支持電力政策制定與供電安全評估工作。
"- 名稱：台灣電力公司台電委託調查研究案
- 原始描述：本資料集為提供台電當月委託研究計畫決標案報表資訊，每月月底台電各單位提送委託調查研究計畫案決標資訊給綜合研究所彙總上網對外公開，提供社會大眾了解本公司所進行之委託研究計畫。
- 更新頻率：不定期更新
- 提供單位：綜合研究所
- 關鍵字：台電委託調查研究
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司台電委託調查研究案,揭露台灣電力公司每月委託外部進行的調查研究計畫決標資訊，供社會大眾監督與了解研究方向。,台灣全島,歷史資料，每月持續更新,個別委託研究計畫決標案,追蹤台電研究經費流向與重點領域分析,分析台電在能源、環境等領域的外部合作趨勢,學術研究者了解台電委託案的範圍與主題,每月月底彙總並公開，約 1-4 週,完整收錄台電各單位每月提報的委託研究決標案,官方發布資料，高度準確,"台灣電力公司電力統計資料,政府採購決標公告",搭配其他政府採購資料，可進行更全面的公共工程與研究案分析。,,「台灣電力公司台電委託調查研究案」資料集，核心功能在於提供台電當月已決標的委託研究計畫報表資訊，是產學研界掌握台電外部研究投入與需求的關鍵管道。本資料集以**月度**為時間粒度，詳細記錄了每一筆決標研究案的資訊，雖未明確標示地理範圍，但內容聚焦於台電在**全國性**的能源與電力相關研究項目。其主要應用場景包括：供產學界了解台電研究需求、支援研究機構申請委託計畫，以及協助政府部門掌握國內能源研究動向。資料來源為正式決標紀錄，品質具備高度可靠性。然而，本資料集為**不定期更新**，使用者在進行研究合作媒合或能源研究規劃時，應留意其更新頻率，以確保資訊的時效性與準確度。
"- 名稱：台灣電力公司新聞稿
- 原始描述：提供台灣電力公司網站發佈的即時新聞資訊，讓各界充分瞭解台電現況，以利有效資訊揭露及溝通。
- 更新頻率：不定期更新
- 提供單位：公眾服務處
- 關鍵字：新聞稿、台電
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司新聞稿,彙整台灣電力公司官方發布的各項即時新聞與公告，作為了解台電營運、政策及重大事件的第一手資訊來源。,台灣全島,歷史資料，持續不定期更新,單一新聞稿事件,追蹤台電最新政策、電價調整與業務發展,分析台電在重大事件（如停電、災害）的應對與資訊揭露,供學術研究或媒體監測，了解公共溝通策略,即時 (發布後立即更新),完整收錄台灣電力公司官方網站所有新聞稿,官方發布、高度準確,台灣電力公司電力統計、台灣電力公司公告、政府機關新聞稿,應搭配時間軸或關鍵字進行篩選，以快速掌握特定期間或主題的台電動態。,,「台灣電力公司新聞稿」資料集的核心用途是提供台電網站發布的即時新聞資訊，作為官方政策宣傳與重大事件說明的權威管道。此資料集涵蓋台電在全台灣範圍內發布的各類新聞，時間軸為持續更新的即時資訊，粒度為單篇新聞稿。它不涉及地理空間或時間序列數據，而是以文本內容為主，適合進行內容分析。主要應用場景包括：媒體可利用此資料進行即時新聞報導與資訊蒐集；一般民眾能藉此快速了解台電的最新動態與服務調整；學術研究人員則能分析台電的政策宣傳策略與公眾溝通模式。資料集內容為台電官方發布，具有高度權威性與可靠性。由於新聞稿的發布頻率不固定，資料集會不定期更新，因此特別適合需要進行新聞監控與政策宣傳分析的用戶。
"- 名稱：台灣電力公司本年度每日尖峰備轉容量率
- 原始描述：提供今年度至前一日為止的每日尖峰備轉容量率。
- 更新頻率：每1日
- 提供單位：電力調度處
- 關鍵字：備轉容量、尖峰負載
- 資料集備註：1.備轉容量(Operating Reserve)＝系統運轉淨尖峰能力－系統瞬時尖峰負載(瞬間值)。
2.備轉容量率(Percent Operating Reserve)＝(系統運轉淨尖峰供電能力－系統瞬時尖峰負載(瞬間值))÷系統瞬時尖峰負載(瞬間值)×100%。",台灣電力公司本年度每日尖峰備轉容量率,反映台灣電力系統每日尖峰時段的供電餘裕，是衡量電力穩定與可靠度的關鍵指標。,台灣全島電力系統,本年度每日資料，持續更新至前一日,每日尖峰時段，全台電力系統,評估電力供應穩定性與缺電風險,分析電力負載趨勢與季節性變化,制定節能政策或電力需求管理策略,T+1日更新,完整涵蓋本年度每日尖峰數據,官方電力調度數據，高度準確,每日發電量、每日最高負載、電力景氣燈號,適合用於長期趨勢分析與電力供需預警，不適用於即時電力調度。,,「台灣電力公司本年度每日尖峰備轉容量率」資料集，核心用途在於即時監控與管理供電穩定性，主要內容為記錄今年度至前一日的每日尖峰備轉容量率。這項數據是衡量電力系統可靠度的關鍵指標，反映了在尖峰負載時段，電力系統所能提供的備用發電能力。資料的時間粒度為每日，時間範圍涵蓋本年度至前一日，確保了資訊的即時性與連貫性。此資料集對於多方應用至關重要，例如協助電力調度部門進行即時供電管理、支援政府部門進行電力供應監控，以及提供民眾了解當日電力供應狀況的透明度。資料集具備高度的實用性與專業性，並建議作為進行即時電力供應監控與預警的依據。由於資料每日更新，使用者可依賴其最新資訊進行決策與分析，確保電力系統的穩定運作與公眾的用電安全。
"- 名稱：台灣電力公司路平專區
- 原始描述：本公司為強化路平推動措施之執行，減少對道路路面平整之損害及交通事故之發生，持續改善地下線路沿線道路相關路面與人、手孔蓋周邊巡檢維護作業之辦理情形統計。
- 更新頻率：每1月
- 提供單位：配電處
- 關鍵字：修復、路平
- 資料集備註：",台灣電力公司路平專區,追蹤與統計台電地下線路沿線道路路面及人手孔蓋周邊的巡檢與修復狀況，以確保道路平整與用路安全。,台灣全島各縣市,歷史資料，每月持續更新,月度統計、縣市/鄉鎮,評估台電在各縣市道路平整維護上的執行成效,供地方政府進行道路工程協調與品質監督,分析不同區域的人手孔蓋修復頻率與改善趨勢,約 1 個月,涵蓋台電地下線路經過之台灣全島各縣市,官方統計、定期驗證,道路挖掘許可資料、交通事故統計、電力管線圖資,結合地理資訊系統(GIS)進行空間分析，以視覺化方式呈現路平改善熱區。,,本資料集為**台灣電力公司路平專區**的核心成果，旨在提供台電在推動「路平專案」時，各項措施的**執行情形統計**。內容詳實記錄了台電為配合道路平整化所進行的管線、設施改善與工程進度，是評估台電基礎設施維護效率的重要依據。資料的時間特性為**每月更新**，確保了資訊的即時性與連續性。其地理範圍涵蓋台電所有服務區域內的路平相關工程，粒度聚焦於各項路平推動措施的**執行層面**與**統計數據**。本資料集的主要應用價值極高，可**支援台電內部進行路平工程的管理與監督**，作為決策優化的基礎。同時，它能**協助地方政府進行道路維護的協調**，提升公部門間的協作效率。此外，學術研究人員也能利用這些數據**分析基礎設施維護的趨勢與效益**。資料集以專業標準進行彙整，確保了數據的可靠性與準確性。鑑於其**每月更新**的頻率，本資料集非常適合需要即時掌握路平工程進度與成效的專業人士使用。
"- 名稱：台灣電力公司配電工程承攬商工安罰款
- 原始描述：統計台電公司配電處配電工程承攬商違反工安規定遭計罰之罰款。
- 更新頻率：每1月
- 提供單位：配電處
- 關鍵字：工安罰款
- 資料集備註：",台灣電力公司配電工程承攬商工安罰款,追蹤與分析台灣電力公司配電工程承攬商因違反工安規定而被處以罰款的統計數據。,台灣全島（台電配電工程範圍）,歷史資料，月度更新,單筆罰款紀錄或月度彙總,評估承攬商工安表現，作為未來招標參考,分析工安違規熱點與類型，制定預防措施,監測工安罰款趨勢，評估管理政策成效,1-2 週（基於月度更新推算）,涵蓋台電配電處所有承攬商工安罰款紀錄,官方統計、定期驗證、高度準確,"台電配電工程承攬商名單,台電工安事故統計,台電配電工程招標資訊",結合工程地點與違規細節，深入分析工安風險因子，優化承攬商管理。,,「台灣電力公司配電工程承攬商工安罰款」資料集，核心目的在於提供配電工程承攬商的工安罰款統計數據，作為強化職業安全衛生的重要依據。本資料集涵蓋台灣電力公司所有配電工程範圍，以承攬商為主要粒度，詳細記錄了各項工安違規與罰款資訊，有助於追蹤與分析工安風險熱點。這些數據能有效支援工安管理部門進行嚴格的安全監督，協助承攬商優化內部安全管理流程，同時也為學術界分析工安管理政策與成效提供寶貴的實證資料。資料專業可靠，並採每月定期更新，確保使用者能掌握最新的工安動態，是進行工安管理與監督的理想工具。
"- 名稱：台灣電力公司計畫性工作停電資料
- 原始描述：提供本公司24區處每日計畫性工作停電資料，包含預計工作停電時段及停電影響地區。
- 更新頻率：每1日
- 提供單位：配電處
- 關鍵字：計畫性工作停電
- 資料集備註：馬祖區處的計畫性工作停電資訊請參照以下網址：
https://service.taipower.com.tw/branch/d124/xcnotice?xsmsid=0M242581313368873957",台灣電力公司計畫性工作停電資料,提供台電24區處每日計畫性停電的時段與影響地區，協助民眾與企業預先掌握停電資訊並進行準備。,台灣本島各縣市（台電24區處），不含馬祖,短期未來預報（滾動式更新），涵蓋未來數日或數週,日、區處、停電時段、影響地區,民眾查詢住家或工作地點的計畫性停電時程，提前準備備用電源或調整行程,企業或工廠依據停電資訊，安排生產排程或啟動備用發電機，降低營運衝擊,新聞媒體或應用程式開發者，整合資料提供即時停電預報服務,每日更新，延遲約 1 日內,涵蓋台灣本島台電24區處的計畫性停電資訊，不含馬祖區處,官方發布、每日更新、高度準確,"台灣電力公司即時電力供需資訊,台灣電力公司緊急事故停電資訊,台灣電力公司電費資料",建議搭配地理資訊系統（GIS）進行視覺化，以精確判斷停電影響範圍，並與即時供電資訊交叉比對。,,「台灣電力公司計畫性工作停電資料」的核心用途是提供台電24個區處每日的計畫性工作停電資訊，旨在協助民眾提前掌握停電計畫與時間。本資料集涵蓋了全台各區處的排程停電細節，數據粒度精確至每日的停電時段與地點，雖然未直接提供地理座標，但區處資訊可作為地理區分的依據。其主要應用場景包括：協助一般用戶進行用電規劃、支援媒體進行即時的停電資訊報導，以及作為開發者建構停電通知服務的基礎數據。這份資料的專業性與準確性極高，並且具備每日更新的特性，確保了資訊的即時性與可靠性，非常適合用於停電資訊的公告與用戶通知，是電力資訊透明化的重要基礎。
"- 名稱：台灣電力公司配電線路地下化規劃原則
- 原始描述：提供本公司配電線路地下化工程相關資訊，俾利民眾瞭解地下化工程所需考量之條件及實務上所受之限制，以減少糾紛。
- 更新頻率：不定期更新
- 提供單位：配電處
- 關鍵字：配電線路地下化規劃原則
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司配電線路地下化規劃原則,闡述台灣電力公司配電線路地下化工程的規劃原則、考量條件與實務限制，作為民眾與政府機關理解與溝通的基礎。,台灣全島（適用於台電所有配電線路地下化規劃）,規劃原則發布日至今（持續有效，不定期更新）,政策文件層級（非統計數據，以規劃原則為最小單位）,地方政府或民意代表評估及審核地下化工程提案的可行性。,協助民眾理解地下化工程的技術、成本與環境限制，減少爭議。,供土木工程師或都市規劃者作為電纜線路規劃設計的參考依據。,政策變動後即時發布（不定期）,完整涵蓋台電配電線路地下化規劃所需考量的所有原則與限制。,官方發布之政策文件，具高度權威性,"台灣電力公司輸電線路地下化規劃原則,台灣電力公司配電系統圖資,都市計畫法規",主要用於政策研究與工程溝通，應搭配實際工程圖資與地方規範使用。,,台灣電力公司配電線路地下化規劃原則資料集，核心功能在於提供配電線路地下化工程的相關資訊與指導方針。這是一套全國性的原則文件，內容涵蓋了地下化工程的條件、流程與技術要求，粒度屬於政策與規範層級，旨在確保工程品質與一致性。本資料集的主要應用價值極高，可協助民眾了解地下化工程的申請與實施條件，同時支援工程部門進行精確的規劃與設計，並能供學術研究分析地下化工程的效益與挑戰。本資料集為規劃與溝通的重要依據，採不定期更新機制，以反映最新的技術發展與政策調整，確保資訊的時效性與準確性。
"- 名稱：台灣電力公司供電系統介紹
- 原始描述：提供台電公司之供電系統相關介紹供民眾參考。
- 更新頻率：不定期更新
- 提供單位：系統規劃處
- 關鍵字：供電系統
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司供電系統介紹,旨在向公眾介紹台灣電力公司的整體供電系統架構、主要設備與運作流程，以普及電力知識。,台灣全島,描述當前供電系統架構，為持續性資料，無特定時間跨度,系統層級/概念性描述，非統計數據,公眾教育，提升民眾對電力系統運作原理的基礎認知,協助學術研究者或學生快速掌握台電供電系統的架構,政策分析或媒體報導時，作為電力基礎設施的參考資料,系統異動後即時或於下次版本更新時發布,完整涵蓋台灣電力公司供電系統的整體架構與主要環節,官方文件，由系統規劃處提供，具高度權威性,"台灣電力公司_各機組過去發電量,今日電力資訊,過去電力供需資訊",適合用於基礎知識學習與系統概覽，不適用於即時或歷史統計分析。,,本資料集由台灣電力公司提供，核心功能在於詳盡介紹台電的供電系統，旨在協助各界理解電力如何從發電端傳輸至用戶端。內容涵蓋了供電系統的架構、主要設備與運作流程等關鍵資訊。由於本資料集屬於系統性介紹性質，其粒度為宏觀層面，地理範圍涵蓋台灣全島的電力網絡，不涉及時間序列數據。它不僅是協助民眾了解供電系統運作的優良教材，也支援教育機構進行能源教育，並能作為學術研究分析電力系統的基礎參考資料。本資料集內容專業且易於理解，適合廣泛的使用者群體。資料將不定期更新，以確保內容與最新的供電系統發展保持一致性，是進行能源教育與系統介紹的理想選擇。
